2026-09-14 11:16:10,586 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=TTM Penalty CSV
2026-09-14 11:16:10,587 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=Energy Cost
2026-09-14 11:16:10,587 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=Monthly Depreciation
2026-09-14 11:16:10,588 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=Total Manufacturing Cost
2026-09-14 11:16:10,588 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=Economic Intensity
2026-09-14 11:16:10,588 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=CPU
2026-09-14 11:16:10,588 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=Raw Material Cost Proxy
2026-09-14 11:16:10,589 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=TTM row=2
2026-09-14 11:16:10,590 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=TTM row=3
2026-09-14 11:16:10,590 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=TTM row=4
2026-09-14 11:16:10,590 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN metric=TTM row=5
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=FPY
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=OEE
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=TEEP
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=Energy Cost
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=Economic Intensity
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=CPU
2026-09-14 11:16:10,591 | INFO | euv_analysis.excel | component | EXCEL_FORMULA_WRITTEN stress_metric=TTM Penalty
2026-09-14 11:16:10,672 | INFO | euv_analysis.pipeline | excel | EXCEL_WORKBOOK_CREATED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\ground_truth.xlsx
2026-09-14 11:16:10,673 | INFO | euv_analysis.excel | component | EXCEL_RECALC_STARTED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\ground_truth.xlsx
2026-09-14 11:16:12,892 | INFO | euv_analysis.excel | component | EXCEL_RECALC_COMPLETED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\ground_truth.xlsx
2026-09-14 11:16:12,904 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=FPY value=0.75
2026-09-14 11:16:12,905 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Final Yield value=0.85
2026-09-14 11:16:12,906 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Availability value=0.8125
2026-09-14 11:16:12,907 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Performance value=0.9743589743589743
2026-09-14 11:16:12,908 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Quality value=0.75
2026-09-14 11:16:12,908 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=OEE value=0.59375
2026-09-14 11:16:12,909 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Utilization value=0.6666666666666666
2026-09-14 11:16:12,910 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=TEEP value=0.3958333333333333
2026-09-14 11:16:12,912 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Energy Intensity value=1424.1486068111456
2026-09-14 11:16:12,913 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Economic Intensity value=14713.037495700037
2026-09-14 11:16:12,914 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=CPU value=14713.037495700037
2026-09-14 11:16:12,916 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Mass Intensity value=NOT_COMPUTABLE
2026-09-14 11:16:12,918 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=TTM Penalty Assignment value=0.26285941114120437
2026-09-14 11:16:12,920 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=TTM Penalty CSV value=0.2803468358172122
2026-09-14 11:16:12,922 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Energy Cost value=25300
2026-09-14 11:16:12,922 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Monthly Depreciation value=777777.7777777779
2026-09-14 11:16:12,928 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Total Manufacturing Cost value=1188077.777777778
2026-09-14 11:16:12,930 | INFO | euv_analysis.excel | component | EXCEL_VALUE_READ metric=Raw Material Cost Proxy value=2972.136222910217
2026-09-14 11:16:12,931 | INFO | euv_analysis.pipeline | harness | HARNESS_COMPLETED pass=17 fail=0 not_computable=1
2026-09-14 11:16:13,054 | INFO | euv_analysis.excel | component | EXCEL_RECALC_STARTED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\ground_truth.xlsx
2026-09-14 11:16:15,657 | INFO | euv_analysis.excel | component | EXCEL_RECALC_COMPLETED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\ground_truth.xlsx
2026-09-14 11:16:15,657 | INFO | euv_analysis.pipeline | stress | STRESS_TEST_COMPLETED rows=7
2026-09-14 11:16:15,659 | INFO | euv_analysis.pipeline | report | REPORT_CREATED path=C:\work\Economic analysis of knowledge‑intensive industries\1\app\output\report.md
2026-09-14 11:16:15,659 | INFO | euv_analysis.pipeline | complete | PIPELINE_COMPLETED files=5 excel_success=True
